Company Name,Address,Phone,Mail,Website,Services Text,Services Html,PageUrl
(UK) PROPERTY POT LTD,"10 Wharncliffe Road, London, Greater London, SE25 6SG, Great Britain",02070432288,management@propertypot.uk,//www.propertypot.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											(
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>(UK) Property Pot Ltd</h6>
								<p>
									10 Wharncliffe Road, London, Greater London, SE25 6SG, Great Britain <br>
									
										<a href=""mailto:management@propertypot.uk"" target=""_top"">management@propertypot.uk</a> <br>
									
									02070432288
								</p>
								
									<p>
										<a href=""//www.propertypot.uk"" target=""_blank"">www.propertypot.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/uk-property-pot-ltd-2.html
1 STOP LETTINGS (ABER) LIMITED,"22 Terrace Road, Aberystwyth, Ceredigion, SY23 1NP, Great Britain",01970617757,eirian@1stoplettings.co.uk,//www.1stoplettings.co.uk,"['Business Transfer', 'Commercial Lettings', 'Residential Property Management', 'Residential Lettings', 'Block Management', 'Inventory', 'Commercial Property Management', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>1 Stop Lettings (Aber) Limited</h6>
								<p>
									22 Terrace Road, Aberystwyth, Ceredigion, SY23 1NP, Great Britain <br>
									
										<a href=""mailto:eirian@1stoplettings.co.uk"" target=""_top"">eirian@1stoplettings.co.uk</a> <br>
									
									01970617757
								</p>
								
									<p>
										<a href=""//www.1stoplettings.co.uk"" target=""_blank"">www.1stoplettings.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Business Transfer</li>
										
											<li>Commercial Lettings</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Block Management</li>
										
											<li>Inventory</li>
										
											<li>Commercial Property Management</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/1-stop-lettings-aber-limited-2.html
1LET LIMITED,"20 Manor Place, Edinburgh, West Lothian, EH3 7DS, Great Britain",01314765500,mail@1let.com,//www.1let.com,"['Residential Property Management', 'Residential Lettings', 'Residential Sales', 'Inventory']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>1LET Limited</h6>
								<p>
									20 Manor Place, Edinburgh, West Lothian, EH3 7DS, Great Britain <br>
									
										<a href=""mailto:mail@1let.com"" target=""_top"">mail@1let.com</a> <br>
									
									01314765500
								</p>
								
									<p>
										<a href=""//www.1let.com"" target=""_blank"">www.1let.com <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/1let-limited-2.html
CATHERINE PARSLOW,"8 Oxford Gardens, Hilperton, Trowbridge, BA14 7GY, Great Britain",,,,['Inventory'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Catherine Parslow</h6>
								<p>
									8 Oxford Gardens, Hilperton, Trowbridge, BA14 7GY, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/catherine-parslow-3.html
1ST FIELD PROPERTIES & MANAGEMENT,"39 Greenarbour Road, Thurcroft, Rotherham, S66 9DD, Great Britain",01709700555,info@1stfieldproperties.co.uk,//www.1stfieldproperties.co.uk,"['Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>1st Field Properties &amp; Management</h6>
								<p>
									39 Greenarbour Road, Thurcroft, Rotherham, S66 9DD, Great Britain <br>
									
										<a href=""mailto:info@1stfieldproperties.co.uk"" target=""_top"">info@1stfieldproperties.co.uk</a> <br>
									
									01709700555
								</p>
								
									<p>
										<a href=""//www.1stfieldproperties.co.uk"" target=""_blank"">www.1stfieldproperties.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/1st-field-properties-management-2.html
1ST FIELD PROPERTIES AND MANAGEMENT LIMITED,"81 Wales Road, Kiveton Park, Sheffield, South Yorkshire, S26 6RA, Great Britain",01909772777,info@1stfieldproperties.co.uk,//www.1stfieldproperties.co.uk,"['Commercial Sales', 'Commercial Lettings', 'Residential Property Management', 'Residential Lettings', 'Valuation Property', 'Residential Sales', 'Commercial Property Management', 'Auctions Real Property', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>1st Field Properties and Management Limited</h6>
								<p>
									81 Wales Road, Kiveton Park, Sheffield, South Yorkshire, S26 6RA, Great Britain <br>
									
										<a href=""mailto:info@1stfieldproperties.co.uk"" target=""_top"">info@1stfieldproperties.co.uk</a> <br>
									
									01909772777
								</p>
								
									<p>
										<a href=""//www.1stfieldproperties.co.uk"" target=""_blank"">www.1stfieldproperties.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Commercial Lettings</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Valuation Property</li>
										
											<li>Residential Sales</li>
										
											<li>Commercial Property Management</li>
										
											<li>Auctions Real Property</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/1st-field-properties-and-management-limited-2.html
1STAVENUE.CO.UK,"Keats Building, 5 Saffron Central Square, Croydon, CR0 2FT, Great Britain",02086037107,croydon@1stavenue.co.uk,//www.1stavenue.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>1stavenue.co.uk</h6>
								<p>
									Keats Building, 5 Saffron Central Square, Croydon, CR0 2FT, Great Britain <br>
									
										<a href=""mailto:croydon@1stavenue.co.uk"" target=""_top"">croydon@1stavenue.co.uk</a> <br>
									
									02086037107
								</p>
								
									<p>
										<a href=""//www.1stavenue.co.uk"" target=""_blank"">www.1stavenue.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/1stavenue-co-uk-2.html
1STAVENUE.CO.UK LIMITED,"128 Metcalfe Court, West Parkside, London, Greater London, SE10 0EL, Great Britain",02082938600,paul.endacott@1stavenue.co.uk,//www.1stavenue.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales', 'Auctions Real Property', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											1
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>1stavenue.co.uk Limited</h6>
								<p>
									128 Metcalfe Court, West Parkside, London, Greater London, SE10 0EL, Great Britain <br>
									
										<a href=""mailto:paul.endacott@1stavenue.co.uk"" target=""_top"">paul.endacott@1stavenue.co.uk</a> <br>
									
									02082938600
								</p>
								
									<p>
										<a href=""//www.1stavenue.co.uk"" target=""_blank"">www.1stavenue.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
											<li>Auctions Real Property</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/1stavenue-co-uk-limited-2.html
24 HOUR BAILIFFS LIMITED,"Unit 10, Jubilee Way, Faversham, ME13 8GD, Great Britain",01227750966,info@24hourbailiffs.com,//www.24hourbailiffs.com,"['Bailiff and Insolvency Practice', 'Auctions Real Property']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											2
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>24 Hour Bailiffs Limited</h6>
								<p>
									Unit 10, Jubilee Way, Faversham, ME13 8GD, Great Britain <br>
									
										<a href=""mailto:info@24hourbailiffs.com"" target=""_top"">info@24hourbailiffs.com</a> <br>
									
									01227750966
								</p>
								
									<p>
										<a href=""//www.24hourbailiffs.com"" target=""_blank"">www.24hourbailiffs.com <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Bailiff and Insolvency Practice</li>
										
											<li>Auctions Real Property</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/24-hour-bailiffs-limited-3.html
24 HOUR BAILIFFS LIMITED,"suite 1b Waterham Park, Highstreet Road, Hernhill, Faversham, ME13 9EJ, Great Britain",07834366752,info@24hourbayliffs.com,,"['Bailiff and Insolvency Practice', 'Auctions Real Property']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											2
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>24 Hour Bailiffs Limited</h6>
								<p>
									suite 1b Waterham Park, Highstreet Road, Hernhill, Faversham, ME13 9EJ, Great Britain <br>
									
										<a href=""mailto:info@24hourbayliffs.com"" target=""_top"">info@24hourbayliffs.com</a> <br>
									
									07834366752
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Bailiff and Insolvency Practice</li>
										
											<li>Auctions Real Property</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/24-hour-bailiffs-limited.html
